Region,"Case Number","Case Name",Status,"Date Filed","Date Closed","Reason Closed",City,"States & Territories","Unit ID","Ballot Type","Tally Type","Tally Date","No of Eligible Voters","Void Ballots","Labor Union1","Votes for Labor Union1","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes Against","Total Ballots Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)"
"Region 18, Minneapolis, Minnesota",18-RC-017665,"Community Memorial Hospital Association",Closed,11/09/2009,12/22/2009,"Withdrawal Non-adjusted",Cloquet,MN,A,"Single Labor Organization",Initial,12/21/2009,28,,"CHAPTER 939, NATIONAL CONFERENCE OF FIREMEN AND OILERS, DISTRICT OF LOCAL 32BJ, SERVICE EMPLOYEES IN",6,,,,,10,16,N,11,Y,,"All full-time and regular part-time employees employed by the Employer at its Cloquet, Minnesota facility in business office clerical job classifications; excluding employees employed in business office clerical job classifications in bargaining unit",,,
"Region 18, Minneapolis, Minnesota",30-RC-006769,"Pro-Tec Fire Services, Ltd.",Closed,11/23/2009,12/29/2009,"Certific. of Representative","Green Bay",WI,A,"Single Labor Organization",Initial,12/21/2009,12,,"INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS LOCAL 141",10,,,,,2,12,N,,N,"INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS LOCAL 141","All full-time fire fighters (including public safety officers), lieutenants, and captains employed by the employer at or out of its Green Bay, Wisconsin facility; excluding chiefs, corporate fire chief, casual employees, guards and supervisors as def",,,
"Region 01, Boston, Massachusetts",01-RC-022394,"First Student",Closed,12/01/2009,12/29/2009,"Certific. of Representative",Merrimack,NH,A,"Single Labor Organization",Initial,12/18/2009,2,,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS, LOCAL 633",2,,,,,,2,N,,N,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS, LOCAL 633","All full-time and regular part-time dispatchers employed by the Employer at its 35 Railroad Avenue, Merrimack, NH location, but excluding all other employees, office clerical employees,  mechanics, drivers, monitors, managerial employees, guards and",,,
"Region 01, Boston, Massachusetts",01-RC-022393,"First Student",Closed,12/01/2009,12/29/2009,"Certific. of Representative",Merrimack,NH,A,"Single Labor Organization",Initial,12/18/2009,2,,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS, LOCAL 633",2,,,,,,2,N,,N,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS, LOCAL 633","All full-time and regular part-time mechanics employed by the Employer at its 35 Railroad Avenue, Merrimack, NH location, but excluding all other employees,  technician-in-charge, office clerical employees,  dispatchers, drivers, monitors, managerial",,,
"Region 01, Boston, Massachusetts",01-RC-022392,"First Student",Closed,11/24/2009,12/29/2009,"Certific. of Representative",Merrimack,NH,A,"Single Labor Organization",Initial,12/18/2009,62,,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS, CHAUFFEURS, AND HELPERS LOCAL UNION NO. 633",51,,,,,3,54,N,,N,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS, CHAUFFEURS, AND HELPERS LOCAL UNION NO. 633","All full-time and regular part-time drivers employed by the Employer at its 35 Railroad Avenue, Merrimack, NH location, but excluding all other employees, office clerical employees,  dispatchers, mechanics, monitors, managerial employees, guards and",,,
"Region 04, Philadelphia, Pennsylvania",04-RC-021616,"Central Parking System",Closed,11/18/2009,12/30/2009,"Certification of Results",Philadelphia,PA,A,"Single Labor Organization",Initial,12/18/2009,12,1,"TRANSPORT WORKERS UNION OF AMERICA LOCAL 700. AFL-CIO",2,,,,,4,6,N,,N,,"INCLUDED:  All parking garage attendants and maintenance employees employed by the Employer at its facility currently located at 925 Walnut Street, Philadelphia, PA.
EXCLUDED:  All office clerical employees, guards and supervisors as defined in the",,,
"Region 08, Cleveland, Ohio",08-RC-017012,"Greyhound Lines, Inc.",Closed,11/16/2009,12/29/2009,"Certific. of Representative",Cleveland,OH,A,"Single Labor Organization",Initial,12/18/2009,26,,"AMALGAMATED TRANSIT UNION AFL-CIO NATIONAL LOCAL 1700",14,,,,,6,20,N,,N,"AMALGAMATED TRANSIT UNION AFL-CIO NATIONAL LOCAL 1700","All full-time and regular part-time baggage handlers, ticket counter personnel, customer service representatives, GPX (greyhound package express) personnel, platform workers, and facility maintenance employees employed by the Employer at its 1465 Che",,,
"Region 14, Saint Louis, Missouri",14-RC-012772,"Teva Pharmaceuticals USA, Inc.",Closed,11/23/2009,01/04/2010,"Certific. of Representative",Mexico,MO,A,"Single Labor Organization",Initial,12/18/2009,2,,"LOCAL 688, TEAMSTERS, AFFILIATED WITH THE INTERNATIONAL BROTHERHOOD OF TEAMSTERS",2,,,,,,2,N,,N,"LOCAL 688, TEAMSTERS, AFFILIATED WITH THE INTERNATIONAL BROTHERHOOD OF TEAMSTERS","All full-time and regular part-time chemists employed by the Employer at its Mexico, Missouri facility, EXCLUDING working foremen, office clerical and professional employees, guards, and supervisors as defined in the Act.",,,
"Region 19, Seattle, Washington",19-RC-015245,"Swedish Medical Center",Closed,10/01/2009,03/12/2010,"Certific. of Representative",Seattle,WA,A,"Single Labor Organization",Initial,12/18/2009,47,,"SEIU  HEALTHCARE 1199NW",37,,,,,2,39,N,1,N,"SEIU  HEALTHCARE 1199NW","Included:  Those eligible to vote are all full-time and regular part-time dosimetrists and radiation therapists employed by Swedish Medical Center at the Employer's facilities in Burien, Edmonds, Renton, and Seattle, Washington who were employed duri",,,
"Region 20, San Francisco, California",20-RC-018274,"Sunbridge Care Center",Closed,11/12/2009,01/05/2010,"Certific. of Representative",Paradise,CA,A,"Single Labor Organization",Initial,12/18/2009,20,,"MACHINISTS DISTRICT LODGE NO. 190, MECHANICS LODGE NO. 2182",12,,,,,5,17,N,,N,"MACHINISTS DISTRICT LODGE NO. 190, MECHANICS LODGE NO. 2182","INCLUDED:	All full-time, regular part-time and per diem  Registered Nurses employed as Floor Nurses and Staff Nurses by the Employer at its facility located at 8777 Skyway, Paradise, California:  

EXCLUDED:	All non-professional employees set forth","INCLUDED:	All full-time, regular part-time and per diem  Licensed Vocational Nurses employed as Floor Nurses and Staff Nurses by the Employer at its facility located at 8777 Skyway, Paradise, California:  

EXCLUDED:	All professional employees as s","INCLUDED:	All full-time, regular part-time and per diem  Licensed Vocational Nurses employed as Floor Nurses and Staff Nurses by the Employer at its facility located at 8777 Skyway, Paradise, California:  

EXCLUDED:	All professional employees as s","INCLUDED:	All full-time, regular part-time and per diem  Licensed Vocational Nurses employed as Floor Nurses and Staff Nurses by the Employer at its facility located at 8777 Skyway, Paradise, California:  

EXCLUDED:	All professional employees as s"
"Region 20, San Francisco, California",20-RC-018241,"Santa Rosa Memorial Hospital",Closed,04/13/2009,12/29/2010,"Certific. of Representative","Santa Rosa",CA,A,"Two Labor Organizations",Initial,12/18/2009,675,1,"NATIONAL UNION OF HEALTHCARE WORKERS",283,"SERVICE EMPLOYEES INTERNATIONAL UNION, UNITED HEALTHCARE WORKERS - WEST (SEIU-UHW)",,,,263,559,N,17,Y,"NATIONAL UNION OF HEALTHCARE WORKERS","Classifications Included:
Admissions Rep
Admn Coord I
Admn Coord II
Admn-Materials Data
Admn-PACS
Asst-CT !Ultrasound
Asst-Histology .
Asst-Imaging
Asst-Imagining II
Asst-Performance Impvmt
Auditor-Registration
Buyer-Pharmacy
Buyer-Purch",,,
"Region 31, Los Angeles, California",31-RC-008784,"CineLease, Inc.",Closed,11/13/2009,12/29/2009,"Certification of Results","Los Angeles",CA,A,"Single Labor Organization",Initial,12/18/2009,24,,"IATSE, LOCAL 80, AFL-CIO",2,,,,,20,22,N,1,N,,"Included:  All full-time and regular part-time warehouse and receiving employees, grips, lighting technicians, rigging technicians, and repair employees employed by the Employer at its facility located at 5375 West San Fernando Road, Los Angeles, Cal",,,
"Region 25, Indianapolis, Indiana",33-RC-005138,"Durham School Services",Closed,11/06/2009,12/29/2009,"Certification of Results",Belvidere,IL,A,"Single Labor Organization",Initial,12/18/2009,149,,"BELVIDERE SCHOOL TRANSPORTATION ASSOCIATION, IEA-NEA",69,,,,,70,139,N,1,N,,"All full-time and regular part-time bus drivers, monitors, on-call drivers, permanent substitute drivers employed by the Employer at its Belvidere, Illinois facility; EXCLUDING managerial employees, lead drivers, trainer supervisor, mechanics, admini",,,
"Region 03, Buffalo, New York",03-RC-011946,"A & E Transportation",Closed,11/13/2009,08/19/2010,"Certific. of Representative",Rochester,NY,A,"Single Labor Organization",Initial,12/18/2009,123,,"UNITED FOOD AND COMMERCIAL WORKERS DISTRICT UNION LOCAL ONE",84,,,,,31,115,N,4,N,,"Included:  All full-time and regular part-time drivers and monitors employed by the Employer at its 178 Newbury Street, Rochester, New York facility.

Excluded:  All office clerical employees, mechanics, maintenance employees, dispatchers, safety d",,,
"Region 01, Boston, Massachusetts",01-RC-022384,"A & E Distribution, Inc.",Closed,11/09/2009,12/29/2009,"Certific. of Representative",Sterling,MA,A,"Single Labor Organization",Initial,12/17/2009,26,,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL UNION NO. 170",19,,,,,6,25,N,,N,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL UNION NO. 170","All regular full-time and regular part-time truck drivers, helpers, warehousemen, loaders, and night crew employed by the employer at its Sterling, Massachusetts facility but excluding all other employees, confidential employees, clericals, dispatche",,,
"Region 02, New York, New York",02-RC-023429,"Sound Shore Medical Center",Closed,11/10/2009,12/28/2009,"Certific. of Representative","new rochelle",NY,A,"Single Labor Organization",Initial,12/17/2009,101,,"1199 SEIU UNITED HEALTHCARE WORKERS EAST",43,,,,,31,74,N,3,N,"1199 SEIU UNITED HEALTHCARE WORKERS EAST","INCLUDED:	  All full-time and regular part time and per-diem professional employees including Activities Therapists, Case Managers, Dieticians, Medical Laboratory Technologists, Occupational Therapists, Pharmacists, Physical Therapists, Social Worker",,,
"Region 04, Philadelphia, Pennsylvania",04-RC-021617,"First Student, Inc. (Delran)",Closed,11/20/2009,12/29/2009,"Certific. of Representative",Delran,NJ,A,"Single Labor Organization",Initial,12/17/2009,12,1,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 676",2,,,,,4,6,N,,N,,"INCLUDED:  All full-time and regular part-time Drivers and Monitors/Aides employed by the Employer at its 22 Hartford Road, Delran, New Jersey facility.
EXCLUDED:  All other employees, dispatchers, mechanics, yardmen, lotmen, guards and supervisors",,,
"Region 04, Philadelphia, Pennsylvania",04-RC-021608,"Spring Oaks Assisted Living",Closed,11/04/2009,12/29/2009,"Certific. of Representative",Vineland,NJ,A,"Single Labor Organization",Initial,12/17/2009,48,,"UNITED FOOD AND COMMERCIAL WORKERS UNION LOCAL 152",27,,,,,13,40,N,1,N,"UNITED FOOD AND COMMERCIAL WORKERS UNION LOCAL 152","INCLUDED:  All full time and regular part-time LPNs, CMAs, CNAs, PSAs, activity aides, cooks, receptionists, housekeeping employees, laundry employees, and dietary employees employed by the Employer at its 1611 Main Road, Vineland, New Jersey facilit",,,
